    cm-1  microns   25%       38%       50%       75%       84.5%     95.6%
   5900.   1.695    1.71E-04  2.16E-04  2.37E-04  3.14E-04  3.21E-04  2.99E-04
   6000.   1.667    1.58E-04  1.98E-04  2.18E-04  2.72E-04  2.76E-04  2.55E-04
   6100.   1.639    1.50E-04  1.85E-04  2.01E-04  2.34E-04  2.32E-04  2.14E-04
   6200.   1.613    1.48E-04  1.73E-04  1.87E-04  2.02E-04  1.95E-04  1.81E-04
   6300.   1.587    1.49E-04  1.69E-04  1.76E-04  1.76E-04  1.67E-04  1.52E-04
   6400.   1.562    1.55E-04  1.72E-04  1.68E-04  1.55E-04  1.41E-04  1.24E-04
   6500.   1.538    1.69E-04  1.80E-04  1.74E-04  1.38E-04  1.22E-04  9.88E-05
   6600.   1.515    1.87E-04  1.94E-04  1.82E-04  1.25E-04  1.09E-04  7.85E-05
   6700.   1.493    2.17E-04  2.14E-04  1.91E-04  1.17E-04  9.41E-05  6.21E-05
   6800.   1.471    2.43E-04  2.28E-04  1.99E-04  1.10E-04  8.13E-05  4.53E-05
   6900.   1.449    2.54E-04  2.19E-04  1.83E-04  1.02E-04  6.95E-05  3.40E-05
   7000.   1.429    2.36E-04  1.72E-04  1.47E-04  8.78E-05  5.62E-05  2.54E-05
   7100.   1.408    1.60E-04  1.04E-04  8.80E-05  6.16E-05  3.80E-05  1.98E-05
   7200.   1.389    7.52E-05  6.61E-05  5.35E-05  3.89E-05  2.61E-05  1.65E-05
   7300.   1.370    4.88E-05  4.41E-05  3.80E-05  2.59E-05  2.01E-05  1.38E-05
   7400.   1.351    3.37E-05  3.06E-05  2.69E-05  1.98E-05  1.53E-05  1.15E-05
   7500.   1.333    2.24E-05  2.10E-05  1.97E-05  1.59E-05  1.36E-05  9.44E-06
   7600.   1.316    1.66E-05  1.60E-05  1.54E-05  1.27E-05  1.12E-05  7.85E-06
   7700.   1.299    1.33E-05  1.29E-05  1.26E-05  1.05E-05  9.50E-06  6.67E-06
   7800.   1.282    1.13E-05  1.10E-05  1.07E-05  8.93E-06  8.06E-06  5.61E-06
   7900.   1.266    1.03E-05  9.74E-06  9.48E-06  7.75E-06  6.88E-06  4.68E-06
   8000.   1.250    1.00E-05  9.23E-06  8.85E-06  6.94E-06  6.00E-06  3.95E-06
   8200.   1.220    1.02E-05  8.98E-06  8.22E-06  5.63E-06  4.72E-06  2.91E-06
  8400.   1.190    9.95E-06  8.83E-06  7.90E-06  4.95E-06  3.85E-06  2.29E-06
   8600.   1.163    8.41E-06  8.02E-06  7.25E-06  4.05E-06  3.01E-06  1.94E-06
   8800.   1.136    4.46E-06  4.04E-06  3.73E-06  2.46E-06  2.17E-06  1.69E-06
   9000.   1.111    1.92E-06  1.85E-06  1.87E-06  1.84E-06  1.77E-06  1.51E-06
   9200.   1.087    1.44E-06  1.43E-06  1.45E-06  1.60E-06  1.60E-06  1.44E-06
   9400.   1.064    1.30E-06  1.29E-06  1.30E-06  1.50E-06  1.52E-06  1.40E-06
   9600.   1.042    1.44E-06  1.39E-06  1.37E-06  1.48E-06  1.46E-06  1.32E-06
   9800.   1.020    2.01E-06  1.75E-06  1.62E-06  1.52E-06  1.37E-06  1.11E-06
  10000.   1.000    2.75E-06  2.36E-06  2.09E-06  1.53E-06  1.19E-06  8.67E-07
  10200.    .980    3.23E-06  2.86E-06  2.40E-06  1.41E-06  9.67E-07  6.20E-07
  10400.    .962    2.91E-06  2.51E-06  1.97E-06  1.03E-06  7.51E-07  4.53E-07
  10600.    .943    1.39E-06  1.24E-06  9.38E-07  6.05E-07  4.97E-07  3.27E-07
  10800.    .926    7.88E-07  6.90E-07  5.25E-07  3.62E-07  3.49E-07  2.39E-07
  11000.    .909    5.20E-07  4.98E-07  3.53E-07  2.84E-07  2.73E-07  1.97E-07
  11200.    .893    4.01E-07  3.79E-07  2.65E-07  2.33E-07  2.35E-07  1.71E-07
  11400.    .877    3.21E-07  2.92E-07  2.24E-07  2.02E-07  1.70E-07  1.52E-07
